state_code,date,commodity,total_allocated_qty
AN,2017-09-30,rice,0.09999999999999999
AN,2017-10-31,wheat,3.3699999999999997
AN,2017-11-30,rice,1040.43
AN,2017-11-30,wheat,22.58
AN,2017-12-31,rice,1129.41
AN,2017-12-31,wheat,24.05
AN,2018-01-31,rice,1220.9
AN,2018-01-31,wheat,24.08
AN,2018-02-28,rice,116.73
AN,2018-03-31,rice,116.19
AN,2018-04-30,rice,407.87
AN,2018-04-30,wheat,34.0
AN,2018-05-31,rice,414.04999999999995
AN,2018-05-31,wheat,35.84
AN,2018-06-30,rice,429.04
AN,2018-06-30,wheat,38.45
AN,2018-07-31,rice,436.08000000000004
AN,2018-07-31,wheat,38.81
AN,2018-08-31,rice,423.13
AN,2018-08-31,wheat,40.75
AN,2018-09-30,rice,416.77
AN,2018-09-30,wheat,40.03
AN,2018-10-31,rice,456.9
AN,2018-10-31,wheat,38.97
AN,2018-11-30,rice,472.75
AN,2018-11-30,wheat,37.65
AN,2018-12-31,rice,530.01
AN,2018-12-31,wheat,37.58
AN,2019-01-31,rice,348.29
AN,2019-01-31,wheat,37.75
AN,2019-04-30,rice,296.61
AN,2019-04-30,wheat,3.36
AN,2019-05-31,rice,276.01
AN,2019-05-31,wheat,3.42
AN,2019-06-30,rice,254.58999999999997
AN,2019-06-30,wheat,0.07
AN,2019-07-31,rice,289.33
AN,2019-07-31,wheat,0.08
AN,2019-08-31,rice,320.45
AN,2019-08-31,wheat,0.06
AN,2019-09-30,rice,260.2
AN,2019-09-30,wheat,0.5800000000000001
AN,2019-10-31,rice,289.99
AN,2019-10-31,wheat,0.25
AN,2019-11-30,rice,303.34000000000003
AN,2019-11-30,wheat,0.17
AN,2019-12-31,rice,307.2
AN,2019-12-31,wheat,23.759999999999998
AN,2020-01-31,rice,307.22
AN,2020-01-31,wheat,38.849999999999994
AN,2020-02-29,rice,317.43
AN,2020-02-29,wheat,2.22
AN,2020-03-31,rice,275.52
AN,2020-03-31,wheat,0.46
AN,2020-04-30,rice,586.45
AN,2020-04-30,wheat,73.94
AN,2020-05-31,rice,28.64
AN,2020-05-31,wheat,0.99
AN,2020-06-30,rice,590.3
AN,2020-06-30,wheat,0.77
AN,2020-07-31,rice,65.53999999999999
