state_code,commodity,date,total_allocated_qty
TN,rice,2021-10-31,6445.0
TN,wheat,2021-10-31,599.0
AP,rice,2021-09-30,13030.41
AP,rice,2021-09-30,14176.89
AP,rice,2021-09-30,16541.31
AP,rice,2021-09-30,13809.11
AP,rice,2021-09-30,12664.73
AP,rice,2021-09-30,12384.36
AP,rice,2021-09-30,10361.15
AP,rice,2021-09-30,8829.97
AP,rice,2021-09-30,8301.25
AP,rice,2021-09-30,12633.55
AP,rice,2021-09-30,8857.5
AR,rice,2021-09-30,35.96
AR,rice,2021-09-30,201.58
AR,rice,2021-09-30,121.29
AR,rice,2021-09-30,185.31
AR,rice,2021-09-30,230.35
CG,rice,2021-09-30,3644.92
CG,rice,2021-09-30,3525.52
CG,rice,2021-09-30,3867.36
CG,rice,2021-09-30,4013.9
CG,rice,2021-09-30,922.86
CG,rice,2021-09-30,7695.58
CG,rice,2021-09-30,1303.58
CG,rice,2021-09-30,3912.03
CG,rice,2021-09-30,6121.51
CG,rice,2021-09-30,3045.35
CG,rice,2021-09-30,4124.82
CG,rice,2021-09-30,3462.83
CG,rice,2021-09-30,4797.33
CG,rice,2021-09-30,5250.09
CG,rice,2021-09-30,3695.82
CG,rice,2021-09-30,597.6
CG,rice,2021-09-30,6694.17
CG,rice,2021-09-30,6703.72
CG,rice,2021-09-30,6985.59
CG,rice,2021-09-30,963.67
CG,rice,2021-09-30,3758.71
DH,rice,2021-09-30,248.97
DH,wheat,2021-09-30,26.13
DH,rice,2021-09-30,72.74
DH,wheat,2021-09-30,7.89
GJ,rice,2021-09-30,1454.36
GJ,wheat,2021-09-30,3438.59
GJ,rice,2021-09-30,3040.96
GJ,wheat,2021-09-30,7135.96
GJ,rice,2021-09-30,1396.24
GJ,wheat,2021-09-30,3297.09
GJ,rice,2021-09-30,2299.4
GJ,wheat,2021-09-30,5416.8
GJ,rice,2021-09-30,1250.79
GJ,wheat,2021-09-30,2954.64
GJ,rice,2021-09-30,3725.49
GJ,wheat,2021-09-30,8803.5
GJ,rice,2021-09-30,1379.4
GJ,wheat,2021-09-30,3254.95
GJ,rice,2021-09-30,2793.98
GJ,wheat,2021-09-30,6564.61
GJ,rice,2021-09-30,804.58
GJ,wheat,2021-09-30,1890.19
GJ,rice,2021-09-30,1267.81
GJ,wheat,2021-09-30,2989.87
GJ,rice,2021-09-30,358.67
GJ,wheat,2021-09-30,844.92
GJ,rice,2021-09-30,794.19
GJ,wheat,2021-09-30,1863.46
GJ,rice,2021-09-30,2475.3
GJ,wheat,2021-09-30,5901.22
GJ,rice,2021-09-30,1316.08
GJ,wheat,2021-09-30,3090.37
GJ,rice,2021-09-30,1248.49
GJ,wheat,2021-09-30,2935.61
GJ,rice,2021-09-30,1304.39
GJ,wheat,2021-09-30,3062.9
GJ,rice,2021-09-30,1535.15
GJ,wheat,2021-09-30,3610.66
GJ,rice,2021-09-30,2228.22
GJ,wheat,2021-09-30,5245.39
GJ,rice,2021-09-30,2439.01
GJ,wheat,2021-09-30,5749.42
GJ,rice,2021-09-30,2105.65
GJ,wheat,2021-09-30,4935.27
GJ,rice,2021-09-30,1218.8
GJ,wheat,2021-09-30,2875.29
GJ,rice,2021-09-30,951.73
GJ,wheat,2021-09-30,2233.07
GJ,rice,2021-09-30,837.93
GJ,wheat,2021-09-30,2000.9
GJ,rice,2021-09-30,1583.2
GJ,wheat,2021-09-30,3776.98
GJ,rice,2021-09-30,1945.36
GJ,wheat,2021-09-30,4589.98
GJ,rice,2021-09-30,1702.15
GJ,wheat,2021-09-30,4009.46
GJ,rice,2021-09-30,556.81
GJ,wheat,2021-09-30,1314.34
GJ,rice,2021-09-30,2014.34
GJ,wheat,2021-09-30,4738.48
GJ,rice,2021-09-30,1694.79
GJ,wheat,2021-09-30,4002.31
GJ,rice,2021-09-30,2761.85
GJ,wheat,2021-09-30,6499.31
GJ,rice,2021-09-30,1672.17
GJ,wheat,2021-09-30,3934.15
GJ,rice,2021-09-30,1074.03
GJ,wheat,2021-09-30,2556.95
GJ,rice,2021-09-30,1921.34
GJ,wheat,2021-09-30,4531.8
GJ,rice,2021-09-30,1698.22
GJ,wheat,2021-09-30,4005.45
HR,wheat,2021-09-30,6443.04
HR,wheat,2021-09-30,6332.47
HR,wheat,2021-09-30,2025.85
HR,wheat,2021-09-30,8490.44
HR,wheat,2021-09-30,4862.56
HR,wheat,2021-09-30,3887.93
HR,wheat,2021-09-30,8709.03
HR,wheat,2021-09-30,3940.91
HR,wheat,2021-09-30,7219.5
HR,wheat,2021-09-30,6162.45
HR,wheat,2021-09-30,9129.89
HR,wheat,2021-09-30,5571.16
HR,wheat,2021-09-30,4221.01
HR,wheat,2021-09-30,4995.7
HR,wheat,2021-09-30,2310.26
HR,wheat,2021-09-30,7416.59
HR,wheat,2021-09-30,3978.2
HR,wheat,2021-09-30,4528.93
HR,wheat,2021-09-30,5693.64
HR,wheat,2021-09-30,6426.41
HR,wheat,2021-09-30,6822.52
HP,rice,2021-09-30,452.0
HP,wheat,2021-09-30,617.0
HP,rice,2021-09-30,776.0
HP,wheat,2021-09-30,1129.0
HP,rice,2021-09-30,416.0
HP,wheat,2021-09-30,543.2
HP,rice,2021-09-30,1588.0
HP,wheat,2021-09-30,2252.0
HP,rice,2021-09-30,103.0
HP,wheat,2021-09-30,71.0
HP,rice,2021-09-30,432.0
HP,wheat,2021-09-30,644.0
HP,rice,2021-09-30,1039.86
HP,wheat,2021-09-30,1477.0
HP,rice,2021-09-30,585.7
HP,wheat,2021-09-30,867.0
HP,rice,2021-09-30,539.3
HP,wheat,2021-09-30,771.0
HP,rice,2021-09-30,499.55
HP,wheat,2021-09-30,751.0
HP,rice,2021-09-30,543.0
HP,wheat,2021-09-30,750.0
JK,rice,2021-09-30,3017.41
JK,wheat,2021-09-30,143.18
JK,rice,2021-09-30,1203.69
JK,wheat,2021-09-30,56.12
JK,rice,2021-09-30,3056.48
JK,wheat,2021-09-30,139.14
JK,rice,2021-09-30,2300.22
JK,wheat,2021-09-30,106.54
JK,rice,2021-09-30,781.04
JK,wheat,2021-09-30,536.21
JK,rice,2021-09-30,940.28
JK,wheat,2021-09-30,45.09
JK,rice,2021-09-30,566.73
JK,wheat,2021-09-30,2359.13
JK,rice,2021-09-30,347.31
JK,wheat,2021-09-30,1463.05
JK,rice,2021-09-30,513.73
JK,wheat,2021-09-30,353.36
JK,rice,2021-09-30,1320.74
JK,wheat,2021-09-30,60.96
JK,rice,2021-09-30,2704.28
JK,wheat,2021-09-30,120.72
JK,rice,2021-09-30,884.3
JK,wheat,2021-09-30,607.49
JK,rice,2021-09-30,1704.25
JK,wheat,2021-09-30,77.89
JK,rice,2021-09-30,1257.3
JK,wheat,2021-09-30,861.08
JK,rice,2021-09-30,523.96
JK,wheat,2021-09-30,357.16
JK,rice,2021-09-30,458.07
JK,wheat,2021-09-30,548.24
JK,rice,2021-09-30,162.1
JK,wheat,2021-09-30,672.74
JK,rice,2021-09-30,862.23
JK,wheat,2021-09-30,40.15
JK,rice,2021-09-30,2606.93
JK,wheat,2021-09-30,130.61
JK,rice,2021-09-30,510.36
JK,wheat,2021-09-30,907.74
JH,rice,2021-09-30,3861.26
JH,wheat,2021-09-30,2640.7
JH,rice,2021-09-30,2878.38
JH,wheat,2021-09-30,1958.22
JH,rice,2021-09-30,3620.21
JH,wheat,2021-09-30,2421.73
JH,rice,2021-09-30,5370.03
JH,wheat,2021-09-30,3578.96
JH,rice,2021-09-30,3774.81
JH,wheat,2021-09-30,2391.69
JH,rice,2021-09-30,3615.26
JH,wheat,2021-09-30,2395.82
JH,rice,2021-09-30,6420.5
JH,wheat,2021-09-30,4373.48
JH,rice,2021-09-30,3500.98
JH,wheat,2021-09-30,2270.21
JH,rice,2021-09-30,2591.77
JH,wheat,2021-09-30,1704.5
JH,rice,2021-09-30,4577.97
JH,wheat,2021-09-30,3047.32
JH,rice,2021-09-30,2233.93
JH,wheat,2021-09-30,1496.9
JH,rice,2021-09-30,1623.87
JH,wheat,2021-09-30,1118.91
JH,rice,2021-09-30,2100.48
JH,wheat,2021-09-30,1367.86
JH,rice,2021-09-30,1366.83
JH,wheat,2021-09-30,912.37
JH,rice,2021-09-30,2530.14
JH,wheat,2021-09-30,1504.31
JH,rice,2021-09-30,5586.55
JH,wheat,2021-09-30,3816.66
JH,rice,2021-09-30,1875.46
JH,wheat,2021-09-30,1248.38
JH,rice,2021-09-30,6378.45
JH,wheat,2021-09-30,4344.08
JH,rice,2021-09-30,1697.62
JH,wheat,2021-09-30,1146.76
KA,rice,2021-09-30,8368.53
KA,rice,2021-09-30,17873.56
KA,rice,2021-09-30,493.2
KA,rice,2021-09-30,769.33
KA,rice,2021-09-30,1538.85
KA,rice,2021-09-30,778.86
KA,rice,2021-09-30,3149.72
KA,rice,2021-09-30,1204.92
KA,rice,2021-09-30,6191.75
KA,rice,2021-09-30,2408.92
KA,rice,2021-09-30,2868.38
KA,rice,2021-09-30,2691.55
KA,rice,2021-09-30,6369.08
KA,rice,2021-09-30,4209.13
KA,rice,2021-09-30,2870.58
KA,rice,2021-09-30,6873.62
KA,rice,2021-09-30,9600.39
KA,rice,2021-09-30,1694.58
KA,rice,2021-09-30,2437.1
KA,rice,2021-09-30,5882.34
KA,rice,2021-09-30,3116.13
KA,rice,2021-09-30,4458.67
KA,rice,2021-09-30,7896.99
KA,rice,2021-09-30,1900.47
KA,rice,2021-09-30,6579.92
KA,rice,2021-09-30,4558.44
KA,rice,2021-09-30,3965.01
KA,rice,2021-09-30,8492.62
KA,rice,2021-09-30,4841.43
KL,rice,2021-09-30,5008.71
KL,wheat,2021-09-30,862.32
KL,rice,2021-09-30,4978.8
KL,wheat,2021-09-30,858.06
KL,rice,2021-09-30,2929.12
KL,wheat,2021-09-30,483.01
KL,rice,2021-09-30,4025.36
KL,wheat,2021-09-30,709.03
KL,rice,2021-09-30,5766.72
KL,wheat,2021-09-30,975.87
KL,rice,2021-09-30,3670.07
KL,wheat,2021-09-30,625.32
KL,rice,2021-09-30,8714.69
KL,wheat,2021-09-30,1613.49
KL,rice,2021-09-30,6500.0
KL,wheat,2021-09-30,1133.47
KL,rice,2021-09-30,2304.71
KL,wheat,2021-09-30,387.6
KL,rice,2021-09-30,7655.66
KL,wheat,2021-09-30,1283.29
KL,rice,2021-09-30,6039.0
KL,wheat,2021-09-30,1035.52
KL,rice,2021-09-30,2627.15
KL,wheat,2021-09-30,403.74
LA,rice,2021-09-30,218.57
LA,wheat,2021-09-30,263.21
LA,rice,2021-09-30,121.03
LA,wheat,2021-09-30,157.43
MP,rice,2021-09-30,677.17
MP,wheat,2021-09-30,2805.21
MP,rice,2021-09-30,1366.85
MP,wheat,2021-09-30,1786.19
MP,rice,2021-09-30,510.62
MP,wheat,2021-09-30,2452.22
MP,rice,2021-09-30,4669.5
MP,wheat,2021-09-30,3234.65
MP,rice,2021-09-30,1191.35
MP,wheat,2021-09-30,5144.03
MP,rice,2021-09-30,1253.08
MP,wheat,2021-09-30,5341.17
MP,rice,2021-09-30,758.08
MP,wheat,2021-09-30,3175.12
MP,rice,2021-09-30,1336.68
MP,wheat,2021-09-30,5682.9
MP,rice,2021-09-30,626.61
MP,wheat,2021-09-30,2607.56
MP,rice,2021-09-30,1214.74
MP,wheat,2021-09-30,5209.51
MP,rice,2021-09-30,1578.86
MP,wheat,2021-09-30,6779.14
MP,rice,2021-09-30,1063.97
MP,wheat,2021-09-30,4558.59
MP,rice,2021-09-30,446.51
MP,wheat,2021-09-30,1841.15
MP,rice,2021-09-30,1010.87
MP,wheat,2021-09-30,4274.2
MP,rice,2021-09-30,1565.22
MP,wheat,2021-09-30,6684.85
MP,rice,2021-09-30,2139.83
MP,wheat,2021-09-30,1465.11
MP,rice,2021-09-30,883.15
MP,wheat,2021-09-30,3874.02
MP,rice,2021-09-30,892.76
MP,wheat,2021-09-30,3796.83
MP,rice,2021-09-30,346.3
MP,wheat,2021-09-30,1450.88
MP,rice,2021-09-30,759.82
MP,wheat,2021-09-30,3209.4
MP,rice,2021-09-30,1294.33
MP,wheat,2021-09-30,5406.56
MP,rice,2021-09-30,1612.64
MP,wheat,2021-09-30,5761.31
MP,rice,2021-09-30,1020.14
MP,wheat,2021-09-30,4476.18
MP,rice,2021-09-30,1717.26
MP,wheat,2021-09-30,2674.33
MP,rice,2021-09-30,1443.94
MP,wheat,2021-09-30,6161.92
MP,rice,2021-09-30,3136.73
MP,wheat,2021-09-30,2293.11
MP,rice,2021-09-30,938.73
MP,wheat,2021-09-30,3922.49
MP,rice,2021-09-30,1099.13
MP,wheat,2021-09-30,4517.64
MP,rice,2021-09-30,765.41
MP,wheat,2021-09-30,3287.43
MP,rice,2021-09-30,549.23
MP,wheat,2021-09-30,2302.52
MP,rice,2021-09-30,811.08
MP,wheat,2021-09-30,3493.54
MP,rice,2021-09-30,939.05
MP,wheat,2021-09-30,4027.63
MP,rice,2021-09-30,1148.14
MP,wheat,2021-09-30,4874.06
MP,rice,2021-09-30,968.33
MP,wheat,2021-09-30,4059.28
MP,rice,2021-09-30,2008.29
MP,wheat,2021-09-30,7032.38
MP,rice,2021-09-30,1745.32
MP,wheat,2021-09-30,7440.15
MP,rice,2021-09-30,1956.87
MP,wheat,2021-09-30,6857.91
MP,rice,2021-09-30,891.33
MP,wheat,2021-09-30,3743.79
MP,rice,2021-09-30,2278.88
MP,wheat,2021-09-30,3323.54
MP,rice,2021-09-30,1953.76
MP,wheat,2021-09-30,2824.54
MP,rice,2021-09-30,587.19
MP,wheat,2021-09-30,2472.75
MP,rice,2021-09-30,481.87
MP,wheat,2021-09-30,2085.62
MP,rice,2021-09-30,1087.76
MP,wheat,2021-09-30,4879.64
MP,rice,2021-09-30,1866.26
MP,wheat,2021-09-30,3142.89
MP,rice,2021-09-30,6.29
MP,wheat,2021-09-30,3333.41
MP,rice,2021-09-30,877.29
MP,wheat,2021-09-30,3154.64
MP,rice,2021-09-30,1160.2
MP,wheat,2021-09-30,4870.25
MP,rice,2021-09-30,1293.24
MP,wheat,2021-09-30,1785.76
MP,rice,2021-09-30,999.47
MP,wheat,2021-09-30,4214.87
MH,rice,2021-09-30,1405.44
MH,wheat,2021-09-30,2100.61
MH,rice,2021-09-30,3074.23
MH,wheat,2021-09-30,3392.24
MH,rice,2021-09-30,5197.21
MH,wheat,2021-09-30,5910.7
MH,rice,2021-09-30,4630.3
MH,wheat,2021-09-30,6900.15
MH,rice,2021-09-30,3482.2
MH,wheat,2021-09-30,5424.97
MH,rice,2021-09-30,3820.49
MH,wheat,2021-09-30,2113.6
MH,rice,2021-09-30,4824.33
MH,wheat,2021-09-30,5131.87
MH,rice,2021-09-30,1948.87
MH,wheat,2021-09-30,2921.04
MH,rice,2021-09-30,4227.68
MH,wheat,2021-09-30,2331.49
MH,rice,2021-09-30,4384.28
MH,wheat,2021-09-30,6559.55
MH,rice,2021-09-30,6075.56
MH,wheat,2021-09-30,9016.85
MH,rice,2021-09-30,2326.85
MH,wheat,2021-09-30,3475.39
MH,rice,2021-09-30,3842.86
MH,wheat,2021-09-30,1026.88
MH,rice,2021-09-30,4017.66
MH,wheat,2021-09-30,2023.44
MH,rice,2021-09-30,1775.49
MH,wheat,2021-09-30,2811.13
MH,rice,2021-09-30,5615.08
MH,wheat,2021-09-30,6792.77
MH,rice,2021-09-30,3132.42
MH,wheat,2021-09-30,3283.46
MH,rice,2021-09-30,5095.95
MH,wheat,2021-09-30,8172.27
MH,rice,2021-09-30,3545.49
MH,wheat,2021-09-30,5527.04
MH,rice,2021-09-30,4259.32
MH,wheat,2021-09-30,5230.4
MH,rice,2021-09-30,3757.44
MH,wheat,2021-09-30,4964.99
MH,rice,2021-09-30,4719.92
MH,wheat,2021-09-30,7477.18
MH,rice,2021-09-30,3412.19
MH,wheat,2021-09-30,3836.95
MH,rice,2021-09-30,7548.36
MH,wheat,2021-09-30,12387.49
MH,rice,2021-09-30,2414.53
MH,wheat,2021-09-30,3815.49
MH,rice,2021-09-30,6655.26
MH,wheat,2021-09-30,3812.37
MH,rice,2021-09-30,2519.84
MH,wheat,2021-09-30,3997.12
MH,rice,2021-09-30,5469.56
MH,wheat,2021-09-30,8693.79
MH,rice,2021-09-30,2660.3
MH,wheat,2021-09-30,4071.58
MH,rice,2021-09-30,6493.8
MH,wheat,2021-09-30,3778.04
MH,rice,2021-09-30,3967.8
MH,wheat,2021-09-30,2385.0
MH,rice,2021-09-30,3775.97
MH,wheat,2021-09-30,5976.07
MH,rice,2021-09-30,3620.96
MH,wheat,2021-09-30,5712.2
MH,rice,2021-09-30,2235.29
MH,wheat,2021-09-30,1345.57
MH,rice,2021-09-30,3950.11
MH,wheat,2021-09-30,6311.98
MH,rice,2021-09-30,1050.47
MH,wheat,2021-09-30,1637.19
MH,rice,2021-09-30,2754.96
MH,wheat,2021-09-30,1509.93
MH,rice,2021-09-30,2761.0
MH,wheat,2021-09-30,3422.78
MH,rice,2021-09-30,2473.06
MH,wheat,2021-09-30,2984.9
MH,rice,2021-09-30,5311.93
MH,wheat,2021-09-30,5589.77
MN,rice,2021-09-30,1344.77
MN,rice,2021-09-30,168.61
MN,rice,2021-09-30,2222.31
MN,rice,2021-09-30,515.62
MN,rice,2021-09-30,1588.29
MN,rice,2021-09-30,3402.97
MN,rice,2021-09-30,4731.96
MN,rice,2021-09-30,1190.22
MN,rice,2021-09-30,843.88
MN,rice,2021-09-30,3281.19
MN,rice,2021-09-30,1032.42
MN,rice,2021-09-30,368.88
ML,rice,2021-09-30,588.31
MZ,rice,2021-09-30,1273.19
MZ,rice,2021-09-30,529.24
MZ,rice,2021-09-30,294.96
MZ,rice,2021-09-30,277.82
MZ,rice,2021-09-30,705.72
MZ,rice,2021-09-30,285.23
MZ,rice,2021-09-30,250.02
MZ,rice,2021-09-30,301.51
NL,rice,2021-09-30,1496.62
NL,rice,2021-09-30,265.81
NL,rice,2021-09-30,647.26
NL,rice,2021-09-30,219.01
NL,rice,2021-09-30,574.52
NL,rice,2021-09-30,737.34
NL,rice,2021-09-30,260.84
NL,rice,2021-09-30,531.41
NL,rice,2021-09-30,557.31
NL,rice,2021-09-30,404.47
NL,rice,2021-09-30,463.76
RJ,wheat,2021-09-30,5997.22
RJ,wheat,2021-09-30,11915.63
RJ,wheat,2021-09-30,7605.37
RJ,wheat,2021-09-30,5366.44
RJ,wheat,2021-09-30,9294.62
RJ,wheat,2021-09-30,4124.83
RJ,wheat,2021-09-30,7453.46
RJ,wheat,2021-09-30,4307.51
RJ,wheat,2021-09-30,3794.69
RJ,wheat,2021-09-30,6734.96
RJ,wheat,2021-09-30,5668.4
RJ,wheat,2021-09-30,6260.02
RJ,wheat,2021-09-30,5678.88
RJ,wheat,2021-09-30,4974.25
RJ,wheat,2021-09-30,12568.76
RJ,wheat,2021-09-30,2097.06
RJ,wheat,2021-09-30,5443.75
RJ,wheat,2021-09-30,6393.74
RJ,wheat,2021-09-30,4493.78
RJ,wheat,2021-09-30,2339.35
RJ,wheat,2021-09-30,11388.52
RJ,wheat,2021-09-30,6570.09
RJ,wheat,2021-09-30,3380.02
RJ,wheat,2021-09-30,4473.46
RJ,wheat,2021-09-30,4315.68
RJ,wheat,2021-09-30,8417.3
RJ,wheat,2021-09-30,3832.61
RJ,wheat,2021-09-30,5028.28
RJ,wheat,2021-09-30,10894.43
TN,rice,2021-09-30,3270.0
TN,wheat,2021-09-30,614.0
TN,rice,2021-09-30,8705.91
TN,wheat,2021-09-30,1174.0
