date,state_code,commodity,total_allocated_qty,lag_1,lag_2,lag_3,lag_6,lag_9,lag_12,rolling_mean_3,rolling_mean_6,rolling_std_3
2018-09-30,AN,rice,416.77,423.13,436.08,429.04,116.19,1000.1209999999995,32.330000000000005,429.4166666666667,371.06,6.483211652665399
2018-10-31,AN,rice,456.9,416.77,423.13,436.08,407.87,1000.1209999999995,32.330000000000005,425.32666666666665,421.1566666666667,9.840631754783592
2018-11-30,AN,rice,472.75,456.9,416.77,423.13,414.05,116.73,1000.1209999999995,432.26666666666665,429.3283333333334,21.56880231568868
2018-12-31,AN,rice,530.01,472.75,456.9,416.77,429.04,116.19,1000.1209999999995,448.8066666666667,439.1116666666667,28.85423077008402
2019-01-31,AN,rice,348.29,530.01,472.75,456.9,436.08,407.87,1000.1209999999995,486.5533333333333,455.94,38.45994063091199
2019-02-28,AN,rice,348.29,348.29,530.01,472.75,423.13,414.05,116.73,450.34999999999997,441.30833333333334,92.90780160998284
2019-03-31,AN,rice,348.29,348.29,348.29,530.01,416.77,429.04,116.19,408.8633333333334,428.835,104.91609091713839
2019-04-30,AN,rice,296.61,348.29,348.29,348.29,456.9,436.08,407.87,348.29,417.4216666666666,0.0
2019-05-31,AN,rice,276.01,296.61,348.29,348.29,472.75,423.13,414.05,331.06333333333333,390.7066666666667,29.83746191171808
2019-06-30,AN,rice,254.59,276.01,296.61,348.29,530.01,416.77,429.04,306.97,357.9166666666667,37.23703532774709
2019-07-31,AN,rice,289.33,254.59,276.01,296.61,348.29,456.9,436.08,275.7366666666667,312.0133333333334,21.011333449669557
2019-08-31,AN,rice,320.45,289.33,254.59,276.01,348.29,472.75,423.13,273.31,302.18666666666667,17.526676809933697
2019-09-30,AN,rice,260.2,320.45,289.33,254.59,348.29,530.01,416.77,288.1233333333334,297.5466666666667,32.946576959271624
2019-10-31,AN,rice,289.99,260.2,320.45,289.33,296.61,348.29,456.9,289.99333333333334,282.865,30.130476818882396
2019-11-30,AN,rice,303.34000000000003,289.99,260.2,320.45,276.01,348.29,472.75,290.2133333333333,281.7616666666667,30.125620878800316
2019-12-31,AN,rice,307.2,303.34000000000003,289.99,260.2,254.59,348.29,530.01,284.51000000000005,286.31666666666666,22.085916326923698
